user_id,in_degree_w,out_degree_w,pagerank,betweenness,community_id,participation_coeff
1000036514,1.0,0.0,1.1483304596679014e-05,0.0,13,0.0
100005598,1.0,1.0,2.9689681385260037e-05,0.0,352,0.0
10003372,1.0,0.0,1.6244479123471545e-05,0.0,325,0.0
1000379850,1.0,0.0,1.153070304891189e-05,0.0,121,0.0
1000585567,1.0,0.0,2.1552525380604693e-05,0.0,174,0.0
1000594352,1.0,0.0,1.1414426845839337e-05,0.0,114,0.0
100060419,1.0,0.0,1.1810603382623935e-05,0.0,190,0.0
100064436,1.0,0.0,1.1298077597809904e-05,0.0,23,0.0
100081485,1.0,0.0,1.1715828045155486e-05,0.0,141,0.0
100085032,22.0,18.0,0.00011211939379000195,0.0005134178886373789,198,0.09625000000000006
1001127668,1.0,0.0,1.1322007663730532e-05,0.0,229,0.0
1001236291,2.0,1.0,6.700568765621172e-05,0.0,109,0.0
100132150,1.0,0.0,1.2940807002839992e-05,0.0,260,0.0
100136358,25.0,55.0,0.0002403246714369985,0.003065304081020285,372,0.16562500000000013
1001495072,1.0,0.0,1.2860244020892697e-05,0.0,280,0.0
100150564,2.0,0.0,1.1890531860722493e-05,1.232696011134163e-06,69,0.5
100150714,2.0,1.0,6.114294219544534e-05,0.0,116,0.0
100158594,2.0,1.0,6.17292086819415e-05,0.0,106,0.0
1001740519,1.0,1.0,1.3507265697578486e-05,0.0,273,0.0
100174414,0.0,10.0,1.1288970942524214e-05,8.505602476825724e-05,399,0.17999999999999994
1001874408,1.0,0.0,1.2704830422794882e-05,0.0,350,0.0
100205953,1.0,0.0,1.1305112662983327e-05,0.0,247,0.0
1002161534,1.0,11.0,3.2415576186970024e-05,0.0,34,0.1527777777777779
1002255540,1.0,1.0,6.111349884056194e-05,0.0,286,0.0
1002281654,1.0,0.0,1.1908409465142631e-05,0.0,263,0.0
100238648,1.0,0.0,2.0842440467817508e-05,0.0,421,0.0
100246984,2.0,2.0,1.18547160625478e-05,4.191166437856154e-05,147,0.375
100261653,1.0,0.0,1.257000416715189e-05,0.0,341,0.0
100269595,1.0,0.0,1.1564276952576845e-05,0.0,115,0.0
100296616,1.0,0.0,2.628522475654797e-05,0.0,393,0.0
100332944,1.0,0.0,1.2940807002839992e-05,0.0,394,0.0
10034082,1.0,0.0,2.1344470122527815e-05,0.0,118,0.0
100343470,1.0,0.0,1.199690068265955e-05,0.0,300,0.0
1003494408,1.0,0.0,1.1335721019702964e-05,0.0,116,0.0
100366853,4.0,0.0,1.2173000360712169e-05,0.0,352,0.625
1003681236,5.0,1.0,4.083632144052607e-05,0.0003057086107612724,273,0.0
1003989258,10.0,8.0,6.206592127272279e-05,0.027180125248167535,41,0.20370370370370372
1003991875,1.0,0.0,2.1877945143237756e-05,0.0,153,0.0
1004094631,24.0,17.0,0.00012334072238237543,0.0,127,0.0
100410807,1.0,0.0,1.243526027484318e-05,0.0,312,0.0
100413913,1.0,0.0,1.1583745034828228e-05,0.0,341,0.0
100418160,2.0,1.0,2.5735417907025666e-05,0.0,104,0.0
100435190,1.0,0.0,1.2595148674250256e-05,0.0,41,0.0
1004405263,1.0,1.0,1.801206510617809e-05,0.0,223,0.0
100445804,1.0,0.0,1.1642935812591882e-05,0.0,44,0.0
1004484211,1.0,0.0,1.1314758596044709e-05,0.0,174,0.0
100467866,1.0,0.0,1.1986112218760787e-05,0.0,30,0.0
1004748156,1.0,0.0,1.4122725727139887e-05,0.0,394,0.0
100482942,4.0,0.0,1.991636064546094e-05,0.0,86,0.75
1004906407,1.0,1.0,1.1310511446205145e-05,0.0,1,0.5
1005033720,2.0,2.0,4.434772089787236e-05,8.62887207793914e-06,10,0.0
1005109987,3.0,1.0,2.6608028212003473e-05,2.9666884001295522e-05,116,0.375
1005257844,5.0,0.0,1.1496314381057577e-05,0.0,23,0.0
1005263809,1.0,0.0,1.1419379052549145e-05,0.0,45,0.0
100533495,2.0,0.0,1.720822920868691e-05,0.0,376,0.0
100542141,1.0,0.0,1.1361846062832263e-05,0.0,150,0.0
1005779887,1.0,1.0,1.2527847987761048e-05,0.0,81,0.0
1005877278,1.0,0.0,1.1908409465142631e-05,0.0,0,0.0
1005960060,1.0,0.0,1.1302772565648497e-05,0.0,5,0.0
100597465,3.0,0.0,1.747460291799402e-05,2.2188528200414934e-05,53,0.4444444444444444
100599304,1.0,0.0,1.4879938974139111e-05,0.0,34,0.0
1006155421,1.0,0.0,1.1835677420921364e-05,0.0,174,0.0
100625142,1.0,0.0,1.1608681147746623e-05,0.0,9,0.0
1006257686,2.0,0.0,2.145180021598017e-05,0.0,10,0.0
100629223,0.0,28.0,1.1288970942524214e-05,0.0002933816506499308,238,0.06887755102040805
100634191,2.0,0.0,1.1340546249565204e-05,0.0,174,0.0
100636437,2.0,0.0,1.2080634307836846e-05,0.0,68,0.5
100647697,1.0,0.0,1.2189972429969184e-05,0.0,105,0.0
100651176,1.0,0.0,1.2114888972682101e-05,0.0,190,0.0
1006615872,2.0,1.0,6.614656399747326e-05,0.0,198,0.0
100667923,1.0,0.0,1.243526027484318e-05,0.0,312,0.0
10066892,1.0,0.0,1.1908409465142631e-05,0.0,69,0.0
1006761036,1.0,0.0,1.1949705366650526e-05,0.0,24,0.0
100678690,1.0,0.0,1.3336119463342748e-05,0.0,34,0.0
100679447,1.0,0.0,1.4408647032541019e-05,0.0,221,0.0
100687954,1.0,0.0,1.1310511446205145e-05,0.0,15,0.0
100690218,1.0,0.0,1.1310511446205145e-05,0.0,15,0.0
1007121066,1.0,0.0,1.1475971251239209e-05,0.0,186,0.0
1007147275,6.0,5.0,7.509679051096042e-05,9.491759285733054e-05,105,0.16528925619834722
1007221920,1.0,0.0,1.1310511446205145e-05,0.0,15,0.0
1007239393,1.0,2.0,1.13075308982581e-05,0.0,9,0.0
1007288292,2.0,1.0,2.2728415181769146e-05,2.465392022268326e-06,177,0.0
1007335268,1.0,1.0,3.229254569011861e-05,0.0,17,0.0
100747631,1.0,0.0,1.1311801562151012e-05,0.0,324,0.0
1007547482,2.0,1.0,6.111351017555813e-05,0.0,1,0.0
1007575651,4.0,2.0,8.90798381946811e-05,1.232696011134163e-05,437,0.375
1007667433,1.0,0.0,1.2527847987761048e-05,0.0,18,0.0
1007749610,1.0,0.0,1.17394716862467e-05,0.0,174,0.0
100775509,1.0,1.0,1.1322118154436906e-05,0.0,286,0.5
1007792130,1.0,0.0,1.131438380499061e-05,0.0,174,0.0
100780738,1.0,0.0,1.1322118154436906e-05,0.0,174,0.0
1007845926,2.0,1.0,6.135520032083869e-05,3.698088033402489e-05,13,0.4444444444444444
100786433,1.0,1.0,2.6947759231413105e-05,0.0,45,0.0
100806458,1.0,0.0,1.2205553876865778e-05,0.0,124,0.0
1008235321,1.0,0.0,1.1338570830666724e-05,0.0,34,0.0
100831053,1.0,0.0,1.1338570830666724e-05,0.0,34,0.0
1008392934,0.0,16.0,1.1288970942524214e-05,0.00026009885834930835,18,0.2265625
100842674,0.0,2.0,1.1288970942524214e-05,0.0,277,0.0
1008526854,0.0,6.0,1.1288970942524214e-05,7.046912196983631e-05,399,0.2777777777777777
100858563,6.0,3.0,0.00011358468921324903,0.00012450229712455046,82,0.49382716049382713
1008666679,3.0,1.0,1.2721338248277873e-05,6.451109124935451e-05,211,0.375
100880543,70.0,53.0,0.00028138897982108905,0.010285615516903455,105,0.0
