strategy,tau_min,k,bin_type,bin,n,mean_ic_dAUC,t_p,wilcoxon_p
bridges,0,1,duration,long,1788,-68.34837248322148,3.0052037160933846e-10,4.676801615777103e-24
bridges,0,3,duration,short,1788,-2.942653803131991,1.4762110306798824e-147,4.861582654790559e-204
bridges,0,3,duration,medium,1787,-18.332067711247905,5.603881724688265e-170,5.0339323742785205e-219
bridges,0,3,duration,long,1788,-223.8300055928412,1.594256561258887e-46,2.2377122680434966e-188
bridges,0,5,duration,short,1788,-3.0350027964205815,8.81974671664803e-155,1.0132258251778109e-215
bridges,0,5,duration,medium,1787,-17.74662283156128,5.816410217780732e-166,5.18135827276621e-217
bridges,0,5,duration,long,1788,-228.43467561521257,5.3998724879180036e-48,4.584375014516637e-193
bridges,0,10,duration,short,1788,-2.9727153243847875,2.2462716295530318e-148,1.0464856543960884e-208
bridges,0,10,duration,medium,1787,-18.464893676552883,2.5104126551032648e-174,1.6019174368377275e-222
bridges,0,10,duration,long,1788,-230.47439597315434,4.626420765425973e-58,4.607108601405609e-191
bridges,15,1,duration,short,1788,0.04007550335570473,0.6104379088416694,0.3146710767203006
bridges,15,1,duration,medium,1787,-0.2532988248461108,0.5803718691055504,0.4288270022271027
bridges,15,1,duration,long,1788,1.2679306487695619,0.9154626574027442,0.5632227396736695
bridges,15,3,duration,short,1788,-0.006921140939597287,0.9330168069648905,0.8962730478958366
bridges,15,3,duration,medium,1787,-1.3662870733072192,0.0036916699006089015,0.01252693640620496
bridges,15,3,duration,long,1788,-10.808719239373604,0.2896140780911024,0.029070395025913465
bridges,15,5,duration,short,1788,-0.007049776286353468,0.9320500919764785,0.9067220766017041
bridges,15,5,duration,medium,1787,-1.5133491885842196,0.0015871020331299827,0.021952377271366903
bridges,15,5,duration,long,1788,-26.509899328859067,0.005365398832221061,0.00022246882484180643
bridges,15,10,duration,short,1788,-0.05207774049216991,0.520729277887857,0.7311253260275666
bridges,15,10,duration,medium,1787,-1.9390570789031893,0.00011803752082675337,0.009360313003504556
bridges,15,10,duration,long,1788,-53.164340044742744,2.10334415075025e-07,0.00011158531504980425
bridges,30,1,duration,short,1788,0.06146812080536916,0.4474792200795217,0.19942333345096597
bridges,30,1,duration,medium,1787,-0.2675685506435369,0.5471202092188784,0.7676706652906001
bridges,30,1,duration,long,1788,11.798361297539147,0.19138175945186922,0.9467424913775632
bridges,30,3,duration,short,1788,-0.012016219239373542,0.8777030398814326,0.8517425802006147
bridges,30,3,duration,medium,1787,-1.0902770005595974,0.014909397561942657,0.11103327688570598
bridges,30,3,duration,long,1788,-3.1859507829977813,0.7472392365073546,0.20416269789916563
bridges,30,5,duration,short,1788,-0.006848434004474228,0.9360219021081557,0.8454089811992423
bridges,30,5,duration,medium,1787,-1.2425825405707895,0.007781695069703972,0.007955417960264563
bridges,30,5,duration,long,1788,-9.833271812080536,0.37108428413923245,0.016458240910112387
bridges,30,10,duration,short,1788,-0.05939317673378077,0.4758624669004503,0.7718006887704534
bridges,30,10,duration,medium,1787,-2.3099244543928377,9.857531665043523e-07,0.00022298786223648277
bridges,30,10,duration,long,1788,-27.031029082774047,0.024791094842920646,0.0029824501724713148
bridges,60,1,duration,short,1788,0.009974832214765137,0.8994155365981354,0.7828300468189349
bridges,60,1,duration,medium,1787,-0.27933128147733655,0.5516429797563687,0.8844106409166872
bridges,60,1,duration,long,1788,0.4582550335570305,0.9642310680031004,0.9130738667069289
bridges,60,3,duration,short,1788,0.01635626398210287,0.8340443993966811,0.7712408783342677
bridges,60,3,duration,medium,1787,-0.8219613878007833,0.06912214371922099,0.15212461634644628
bridges,60,3,duration,long,1788,-8.805973154362421,0.3547989631902295,0.44415903404285406
bridges,60,5,duration,short,1788,0.06556767337807608,0.4253109708838698,0.19955376478361742
bridges,60,5,duration,medium,1787,-0.6641717963066593,0.14783568516177806,0.746528798697023
bridges,60,5,duration,long,1788,-1.7849832214765333,0.8700210877952227,0.8187941750547159
bridges,60,10,duration,short,1788,-0.01339765100671145,0.8638964135971927,0.8157730029589326
bridges,60,10,duration,medium,1787,-1.2673670956911025,0.005599256742480977,0.038611891540880565
bridges,60,10,duration,long,1788,-21.046968680089485,0.05969210328402989,0.01913735735480153
community,0,1,duration,short,1788,-2.0900922818791945,1.7324995014548627e-78,1.351179758050776e-117
community,0,1,duration,medium,1787,-12.450265808617795,1.0671067134903485e-84,1.1830332544917742e-119
community,0,1,duration,long,1788,-148.73874720357946,9.533310137877266e-35,1.1473179067576424e-100
community,0,3,duration,short,1788,-3.0302712527964206,7.047654130730931e-148,2.411593758361012e-214
community,0,3,duration,medium,1787,-18.71329882484611,5.637695982198351e-169,1.8395824299125286e-222
community,0,3,duration,long,1788,-223.897807606264,3.216093389045739e-60,1.2163077706300195e-187
community,0,5,duration,short,1788,-3.004052013422819,2.1720437227501847e-146,1.675893979482866e-211
community,0,5,duration,medium,1787,-18.555934527140458,2.86799252488052e-171,1.2634324441746464e-224
community,0,5,duration,long,1788,-221.783937360179,2.5317952068828375e-66,1.1161145241787914e-190
community,0,10,duration,short,1788,-2.992860738255034,2.112273705250753e-149,1.336534759392703e-211
community,0,10,duration,medium,1787,-18.65346110800224,4.231600911949972e-173,1.3685286229982038e-219
community,0,10,duration,long,1788,-231.62629194630875,2.7054487576047654e-58,8.131251166447123e-199
community,15,1,duration,short,1788,-0.01597035794183443,0.8444550043661916,0.5397899512874498
community,15,1,duration,medium,1787,-1.3353749300503643,0.006202062567713138,0.06922745417629676
community,15,1,duration,long,1788,-16.878775167785232,0.09273341518512318,0.17939363076704384
community,15,3,duration,short,1788,-0.026261185682326597,0.7564801226474225,0.4302451068452935
community,15,3,duration,medium,1787,-2.078144935646335,3.1531837795160944e-05,0.00969047659690632
community,15,3,duration,long,1788,-38.40384228187921,0.0011807017989214942,3.973258257831946e-05
community,15,5,duration,short,1788,-0.036697427293064855,0.6640094460536994,0.7674621061523338
community,15,5,duration,medium,1787,-1.8721628427532178,0.0002456458276791389,0.0184632490453015
community,15,5,duration,long,1788,-48.572835570469806,2.3082872537559958e-06,4.091985190702295e-07
community,15,10,duration,short,1788,-0.05344239373601786,0.5277161522439938,0.827697458462286
community,15,10,duration,medium,1787,-2.242011751538892,6.6346411429882735e-06,0.0005666779971037354
community,15,10,duration,long,1788,-52.67277404921701,3.7529243179669488e-06,7.829361938906666e-07
community,30,1,duration,short,1788,-0.06265939597315438,0.43236364597949495,0.9498161610737372
community,30,1,duration,medium,1787,-0.5633715724678233,0.20968258962786152,0.628232981727072
